NOC;Year;Season;Sport;Medallas_Cant;Temp_prom
CUB;2012;Summer;Athletics;2;25
BLR;2010;Winter;Biathlon;2;6
CHN;2012;Summer;Rowing;2;11
CHN;2012;Summer;Judo;2;11
CHN;2004;Summer;Taekwondo;2;11
ARG;2016;Summer;Sailing;2;15
ARG;2012;Summer;Sailing;2;15
ARG;2008;Summer;Sailing;2;15
ARG;2008;Summer;Cycling;2;15
BLR;2008;Summer;Wrestling;2;6
GER;2012;Summer;Beach Volleyball;2;9
CHN;2004;Summer;Tennis;2;11
CHN;2016;Summer;Wrestling;2;11
ARG;2004;Summer;Sailing;2;15
BLR;2012;Summer;Weightlifting;2;6
ALG;2016;Summer;Athletics;2;23
BLR;2012;Summer;Swimming;2;6
CHN;2006;Winter;Freestyle Skiing;2;11
ALG;2008;Summer;Judo;2;23
CHN;2008;Summer;Tennis;2;11
CHN;2008;Summer;Taekwondo;2;11
FRA;2012;Summer;Canoeing;2;11
CHN;2006;Winter;Speed Skating;2;11
CHN;2008;Summer;Sailing;2;11
CHN;2008;Summer;Athletics;2;11
CHN;2008;Summer;Canoeing;2;11
ARG;2004;Summer;Tennis;2;15
CHN;2016;Summer;Judo;2;11
COL;2016;Summer;Cycling;2;25
COL;2016;Summer;Boxing;2;25
BRA;2000;Summer;Judo;2;25
FRA;2012;Summer;Taekwondo;2;11
CIV;2016;Summer;Taekwondo;2;10
CHN;2004;Summer;Canoeing;2;11
GER;2008;Summer;Fencing;2;9
AUS;2000;Summer;Beach Volleyball;2;22
GER;2008;Summer;Gymnastics;2;9
CHN;2016;Summer;Taekwondo;2;11
FRA;2012;Summer;Shooting;2;11
ARM;2008;Summer;Wrestling;2;7
ARM;2016;Summer;Wrestling;2;7
GER;2010;Winter;Skeleton;2;9
BLR;2016;Summer;Weightlifting;2;6
CHN;2016;Summer;Cycling;2;11
FRA;2008;Summer;Gymnastics;2;11
ARM;2016;Summer;Weightlifting;2;7
FRA;2012;Summer;Rowing;2;11
ARM;2012;Summer;Wrestling;2;7
GER;2010;Winter;Figure Skating;2;9
CHN;2014;Winter;Freestyle Skiing;2;11
BLR;2014;Winter;Freestyle Skiing;2;6
FRA;2008;Summer;Wrestling;2;11
COL;2016;Summer;Weightlifting;2;25
GER;2008;Summer;Sailing;2;9
ESP;2004;Summer;Beach Volleyball;2;13
BUL;2004;Summer;Shooting;2;11
ESP;2016;Summer;Athletics;2;13
BUL;2004;Summer;Weightlifting;2;11
GBR;2000;Summer;Badminton;2;12
ESP;2012;Summer;Swimming;2;13
FRA;2000;Summer;Gymnastics;2;11
CAN;2000;Summer;Canoeing;2;-5
ESP;2004;Summer;Tennis;2;13
AUS;2016;Summer;Diving;2;22
ESP;2004;Summer;Gymnastics;2;13
